year,ctrycode,lending,cap_raising,altfin
2016,CZ,30.872930126562,3.910139807713652,34.78307
2017,CZ,29.66280667397341,.2799778082320736,29.942783
2018,CZ,54.929794633474,2.717602833334,57.6474
2019,CZ,66.96365642509022,3.66170976314775,70.625366
2020,CZ,132.1347388536566,7.263322659515899,139.39807
2013,DE,48.33293215860001,34.59121115271601,82.924141
2014,DE,114.90987382,57.50613181355,172.54884
2015,DE,205.5777468949995,70.45189070772388,276.02963
2016,DE,237.624893237154,118.5344747634949,356.15936
2017,DE,454.238432373687,216.139155568411,672.75189
2018,DE,882.5637795554001,393.6377012425236,1276.2014
2019,DE,953.4566317662787,463.3026186825979,1416.7593
2020,DE,1031.193556883387,498.1896740318481,1529.3832
2013,DK,,.411030072087,.41103005
2014,DK,,.664265,.66426498
2015,DK,21.78602499423099,5.375638011710988,27.161661
2016,DK,89.62630229121,7.763859414468538,97.39016
2017,DK,44.96049302713227,4.155527678801707,49.11602
2018,DK,140.5856260287,4.159734988385,144.74536
2019,DK,146.9329070641308,2.24929324383252,149.18221
2020,DK,62.2425092714678,9.26386576725355,71.506378
2015,DM,,.0001,.000099999997
2016,DM,,.0085,.0085000005
2020,DM,,.000225,.000225
2015,DO,,.081985,.081984997
2016,DO,,.0860126505402977,.086012647
2017,DO,.5242,.422903,.94710302
2018,DO,.49845,.46398051,.96243048
2019,DO,29.45603687679095,.135125596814,29.591162
2020,DO,33.68541450741558,.66170048,34.347115
2013,DZ,,15.347655522752,15.347656
2014,DZ,,12.80181435355,12.801814
2015,DZ,,11.80285789938523,11.802858
2016,DZ,,.0250122859478936,.025012285
2019,DZ,,.01455912274212,.014559123
2020,DZ,,.07481834684691,.074818343
2013,EC,,.015574,.015574
2014,EC,,.07815,.078149997
2015,EC,,.053397,.053397
2016,EC,4.397775,.0296561522744521,4.4274311
2017,EC,6.61625,.2133267575,6.829577
2018,EC,8.613391,.271581703679,8.8849726
2019,EC,10.988765,.1216179125106,11.110383
2020,EC,7.919985,.43700513494964,8.3569899
2013,EE,10.05619248717,,10.056192
2014,EE,29.34865586975,,29.348656
2015,EE,31.45858147992689,3.53079322392,34.989376
2016,EE,84.15964726411309,7.120508964460003,91.280159
2017,EE,83.79070081485534,8.003406321873337,91.794113
2018,EE,151.9337338984,7.592348149649999,159.52608
2019,EE,140.0453983910609,27.33033505396392,167.37573
2020,EE,141.2520814180625,12.69054302922526,153.94263
2013,EG,,.8153037905061479,.8153038
2014,EG,.03405,.5844773479377562,.61852735
2015,EG,.34375,2.618491516618384,2.9622414
2016,EG,.500825,3.842009320174356,4.3428345
2017,EG,.477225,.2691021173199999,1.0663271
2018,EG,.57705,.312862668381,.88991266
2019,EG,.7737000000000001,.03087611830968,.8045761
2020,EG,26.11448502553,.08510603468079,26.199593
2013,ES,3.7489040829,33.23627590922099,36.98518
2014,ES,19.79775406,24.84588508311001,44.723351
2015,ES,32.45865652598597,20.20934652269796,52.668003
2016,ES,86.38893778914601,58.46566687791978,144.85461
2017,ES,139.7824573603401,41.83843690984849,181.6209
2018,ES,347.6519505578935,71.387962176824,419.04019
2019,ES,513.2634596044388,97.20987054943545,610.47333
2020,ES,584.3659677773318,102.5096757792777,686.87567
2013,ET,,.0753104364194905,.075310439
2014,ET,,.4078381176943262,.40783814
2015,ET,,.9171449587595604,.91714495
2016,ET,,.1057189585542497,.10571896
2017,ET,,.3447649265369,.34476495
2018,ET,,.073820773014,.07382077
2019,ET,,.0302961366079,.030296138
