year,ctrycode,resid_roe,resid_int
2020,DK,-6.0392618,.10965914
2021,DK,-2.9023955,.14592159
2015,DM,,
2016,DM,,
2020,DM,,
2021,DM,,
2015,DO,-.62614006,-6.7836995
2016,DO,-.53328711,-4.0416775
2017,DO,-2.1288066,-3.3863819
2018,DO,-1.0990155,2.4437118
2019,DO,-1.484123,4.8452497
2020,DO,-.50562638,1.9356216
2021,DO,1.6860452,2.9787211
2013,DZ,-8.1540661,-33.456192
2014,DZ,-8.6515732,-27.278412
2015,DZ,-8.5446205,-19.3535
2016,DZ,-8.8371458,-21.008512
2019,DZ,-6.8006263,-14.139648
2020,DZ,-4.9157619,-9.3362188
2021,DZ,,
2013,EC,-5.1155696,-15.387746
2014,EC,-5.8182387,-11.659036
2015,EC,-5.4427481,-9.4858398
2016,EC,-4.7228823,-11.316349
2017,EC,-6.8966374,-10.607407
2018,EC,-4.424273,-12.50119
2019,EC,1.1327481,-12.745522
2020,EC,1.665765,-2.9067004
2021,EC,.97337264,-7.7550716
2013,EE,-7.5732231,2.9182119
2014,EE,-8.5109053,6.3881698
2015,EE,-8.2010069,7.5358396
2016,EE,-2.3132563,1.5898955
2017,EE,-3.5580893,.30714601
2018,EE,-5.8922653,-1.0980518
2019,EE,-6.981051,-2.0386674
2020,EE,-9.4100761,-6.6278038
2021,EE,-6.5209713,-7.3881493
2013,EG,-6.5023913,-26.825693
2014,EG,-6.6532702,-23.486975
2015,EG,-4.6019306,-21.375086
2016,EG,1.5117218,-24.864004
2017,EG,-.46149954,-22.386753
2018,EG,-1.6671455,-22.425602
2019,EG,-4.1947198,-14.785876
2020,EG,-6.3072047,-3.2448769
2021,EG,-6.9217119,-8.7168236
2013,ES,-7.0756235,-1.9527583
2014,ES,-7.6739349,2.6716154
2015,ES,-7.2654858,4.6482077
2016,ES,-7.0694695,-.58199936
2017,ES,-5.8051801,2.7197986
2018,ES,-8.536974,.73279339
2019,ES,-8.88451,3.2209785
2020,ES,-8.313776,3.4884934
2021,ES,-9.6120577,1.8274666
2013,ET,,
2014,ET,,
2015,ET,,
2016,ET,,
2017,ET,,
2018,ET,,
2019,ET,,
2020,ET,,
2021,ET,,
2013,FI,-13.429544,10.654347
2014,FI,-9.6223392,4.6696019
2015,FI,-5.9645929,3.6060131
2016,FI,-3.3971908,1.1636242
2017,FI,-5.2192698,-1.7393582
2018,FI,-5.5240555,-2.5065734
2019,FI,-4.8103976,-3.8267796
2020,FI,-4.8615336,-3.9951305
2021,FI,-5.8543587,-6.9475913
2018,FJ,4.6905313,-22.998623
2019,FJ,3.7812839,-19.593866
2020,FJ,.21762045,-17.032425
2021,FJ,,
2013,FR,-11.279964,7.629518
2014,FR,-9.8950787,9.6064892
2015,FR,-9.2916946,1.149821
2016,FR,-10.072757,-4.5407624
2017,FR,-9.2094116,-4.7102818
2018,FR,-9.9994802,-5.5291209
2019,FR,-10.826234,-7.5521979
2020,FR,-9.3840389,-7.7258234
2021,FR,-8.899889,-8.4707623
2015,GA,-1.7398019,-14.268147
2021,GA,,
2013,GB,-8.6418571,12.1853
2014,GB,-8.5445042,13.203373
2015,GB,-6.4545341,12.425968
2016,GB,-6.1970258,9.3689795
2017,GB,-6.8686142,2.837378
2018,GB,-7.2043285,2.7088442
2019,GB,-8.0993967,2.7901857
2020,GB,-7.2535467,1.607204
2021,GB,-6.1487741,2.4250753
2013,GE,-8.3716707,-27.906351
2014,GE,-2.1560757,-23.64138
2015,GE,.50589782,-26.292521
2016,GE,.30260062,-24.065121
2017,GE,-3.0555208,-25.443233
2018,GE,-3.0367799,-24.274809
2019,GE,-4.7045321,-20.928379
2020,GE,-8.8109083,-19.936142
2021,GE,-3.3058004,-18.718466
2013,GH,2.2668545,-47.408596
2014,GH,3.405977,-43.600113
2015,GH,2.9781229,-39.995361
2016,GH,-.52416295,-40.093662
2017,GH,1.3696185,-32.720665
2018,GH,-3.832804,-29.187056
2019,GH,-4.5936193,-51.983501
2020,GH,-2.9505498,-15.037112
2021,GH,-2.0781677,-12.284455
2013,GM,,
2014,GM,,
2015,GM,,
2016,GM,,
2017,GM,,
2018,GM,2.8266697,-42.59375
2019,GM,5.2997799,-42.120213
2020,GM,4.2614708,-40.886566
2021,GM,,
2015,GN,2.3931646,-46.975277
2016,GN,5.979836,-47.96608
2017,GN,13.017265,-44.185734
2018,GN,9.268219,-44.382015
2019,GN,16.71735,-47.151123
2020,GN,11.832228,-48.304855
2021,GN,,
2014,GR,-21.387493,-8.370863
2015,GR,-18.695538,-3.2892785
2016,GR,-16.88147,-10.691629
2017,GR,-18.517801,-12.048428
2018,GR,-16.507969,-12.033512
2019,GR,-17.357063,-11.130428
2020,GR,-19.33251,-12.66987
2021,GR,-19.239246,-10.078156
2013,GT,5.1744657,-37.717236
2014,GT,4.3516593,-34.708324
2015,GT,3.5026903,-31.282402
2016,GT,3.0143437,-32.873257
2017,GT,2.0263498,-30.49334
